durations;datelimits
13;2019-04-24/2019-05-07
22;2018-12-19/2019-01-10
9;2018-06-26/2018-07-05
7;2018-04-11/2018-04-18
6;2018-03-01/2018-03-07
23;2018-05-22/2018-06-14
13;2018-05-09/2018-05-22
12;2017-11-03/2017-11-15
15;2017-09-21/2017-10-06
10;2017-09-05/2017-09-15
10;2017-07-28/2017-08-07
14;2017-06-16/2017-06-30
8;2017-05-01/2017-05-09
13;2016-12-21/2017-01-03
12;2016-09-01/2016-09-13
8;2016-08-24/2016-09-01
9;2016-07-19/2016-07-28
7;2016-06-30/2016-07-07
4;2016-06-09/2016-06-13
4;2016-05-27/2016-05-31
5;2016-03-23/2016-03-28
5;2016-03-16/2016-03-21
4;2016-02-06/2016-02-10
13;2016-01-06/2016-01-19
