kevinsawicki,4,105,10,6,11,242,4,46,77,209,6,50,772,0.018134715025906734
nathansobo,321,130,452,0.00663716814159292
akshayp,1,1.0
aroben,1,1.0
maxbrunsfeld,1102,10,10,12,36,16,27,57,25,30,19,4,10,4,38,17,27,154,62,1664,0.013822115384615384
hd-deman,1,1.0
fd00,1,1.0
izuzak,1,1.0
mnquintana,62,63,0.031746031746031744
pchaigno,11,656,671,0.00894187779433681
50Wliu,9,4,21,5,6,23,21,118,6,28,10,14,2,15,59,15,20,11,6,14,45,43,114,20,45,5,40,6,37,15,6,20,89,109,11,1021,0.043095004897159644
jannis-a,1,1.0
alphabetum,1,1.0
mkhl,1,1.0
mrodalgaard,1,1.0
tianp,1,1.0
ecollis6,1,1.0
Alhadis,140,391,532,0.005639097744360902
fusion809,2,1.0
TheChymera,1,1.0
damieng,11,12,0.16666666666666666
gontadu,1,1.0
torn4dom4n,1,1.0
MakeNowJust,1,1.0
lee-dohm,4,5,0.4
schlomo,1,1.0
elyscape,38,39,0.05128205128205128
jasonrudolph,7,212,220,0.013636363636363636
