dev;username;sleepings;hibernatings;deads
1044895;Siedlerchr;[49, 25, 17, 21, 7, 7, 8, 8, 25, 8, 14, 27];[];[]
65723;koppor;[115, 59, 34, 12, 8, 10, 12, 14, 21, 13, 27, 22, 26, 19, 15, 10, 25, 132];[31];[]
436072;stefan-kolb;[20, 19, 29, 14, 35, 40, 14, 14, 12, 44, 28, 27, 27, 75, 161];[32];[]
10328450;tschechlovdev;[44, 39, 107, 663];[35];[]
4556166;oscargus;[18, 18, 8, 8, 33, 29, 24, 293, 29, 18, 133, 140];[63, 35, 36, 38];[]
10261643;zellerdev;[41, 79, 62, 57, 752];[];[]
390082;simonharrer;[84, 21, 13, 11, 14, 10, 15, 121, 43, 131];[21, 83, 35, 41, 8, 115];[422]
327932;lynyus;[424];[];[]
3168844;tobiasdiez;[62, 14, 19, 15, 44, 10, 7, 42, 18, 9, 5, 5, 5, 6, 8, 7, 19, 8, 8, 8, 17, 24];[113];[]
390083;lenhard;[22, 26, 23, 22, 24, 27, 24, 19, 28, 80, 31, 12, 18, 17, 173, 51];[308, 40];[]
836369;matthiasgeiger;[40, 28, 12, 25, 19, 30, 477];[144];[]
414744;halirutan;[29, 25, 38, 40, 57];[67, 90];[]
10328444;bartsch-dev;[125, 32, 21, 24];[28, 38];[625]
10358490;obraliar;[79, 46, 155, 285];[197, 120];[]
1938898;mlep;[69, 102, 405];[];[]
10328451;boceckts;[86, 36];[157];[630]
39235484;LinusDietz;[36, 33, 24, 52, 56, 41, 42];[];[]
