durations;datelimits
200;2018-07-03/2019-01-19
124;2018-03-01/2018-07-03
42;2018-01-18/2018-03-01
65;2017-11-14/2018-01-18
28;2017-10-13/2017-11-10
36;2017-09-07/2017-10-13
17;2017-04-24/2017-05-11
43;2017-02-16/2017-03-31
