durations;datelimits
22;2019-05-29/2019-06-20
67;2019-03-23/2019-05-29
155;2018-10-19/2019-03-23
30;2018-02-07/2018-03-09
118;2018-03-25/2018-07-21
150;2017-08-31/2018-01-28
69;2017-03-19/2017-05-27
106;2016-09-22/2017-01-06
44;2016-07-05/2016-08-18
20;2016-03-17/2016-04-06
24;2015-11-23/2015-12-17
21;2015-06-01/2015-06-22
27;2015-06-22/2015-07-19
28;2014-08-26/2014-09-23
22;2014-07-11/2014-08-02
30;2014-03-14/2014-04-13
98;2013-08-05/2013-11-11
59;2013-01-18/2013-03-18
94;2011-12-17/2012-03-20
239;2011-04-22/2011-12-17
