"[77, '2016-06-15/2016-08-31']","['h', 73, '2016-06-15/2016-08-27']"
"[54, '2016-09-29/2016-11-22']","['sot', 54, '2016-09-29/2016-11-22']"
"[27, '2016-12-16/2017-01-12']","['sot', 27, '2016-12-16/2017-01-12']"
"[22, '2017-12-20/2018-01-11']","['sot', 22, '2017-12-20/2018-01-11']"
"[33, '2018-06-22/2018-07-25']","['sot', 33, '2018-06-22/2018-07-25']"
"[288, '2018-09-05/2019-06-20']","['sot', 211, '2018-09-05/2019-04-04']","['h', 46, '2019-04-24/2019-05-20']","['sot', 31, '2019-05-20/2019-06-20']"
