durations;datelimits
93;2019-03-19/2019-06-20
31;2019-01-21/2019-02-21
73;2018-11-08/2019-01-20
84;2018-07-23/2018-10-15
90;2018-04-24/2018-07-23
71;2017-12-07/2018-02-16
102;2017-07-27/2017-11-06
67;2017-05-21/2017-07-27
46;2016-11-18/2017-01-03
19;2016-08-10/2016-08-29
90;2016-05-05/2016-08-03
19;2016-04-04/2016-04-23
17;2016-03-12/2016-03-29
24;2016-01-23/2016-02-16
52;2015-11-27/2016-01-18
90;2015-05-05/2015-08-03
37;2014-07-15/2014-08-21
42;2014-05-24/2014-07-05
26;2014-03-16/2014-04-11
21;2014-02-09/2014-03-02
26;2013-10-12/2013-11-07
30;2013-04-27/2013-05-27
16;2012-12-19/2013-01-04
72;2012-08-29/2012-11-09
25;2012-08-04/2012-08-29
25;2012-04-03/2012-04-28
16;2011-06-15/2011-07-01
178;2011-08-23/2012-02-17
30;2011-07-24/2011-08-23
20;2011-07-04/2011-07-24
20;2011-02-14/2011-03-06
20;2010-09-18/2010-10-08
43;2011-03-29/2011-05-11
96;2010-11-09/2011-02-13
42;2010-07-07/2010-08-18
55;2010-04-14/2010-06-08
364;2009-02-23/2010-02-22
140;2008-08-28/2009-01-15
91;2008-05-29/2008-08-28
