durations;datelimits
56;2018-11-10/2019-01-05
32;2018-10-05/2018-11-06
47;2018-08-16/2018-10-02
78;2018-05-27/2018-08-13
23;2017-09-09/2017-10-02
21;2017-06-26/2017-07-17
27;2017-08-02/2017-08-29
43;2017-03-13/2017-04-25
12;2016-11-04/2016-11-16
27;2016-09-11/2016-10-08
34;2016-05-17/2016-06-20
39;2015-08-28/2015-10-06
72;2016-01-31/2016-04-12
72;2015-10-06/2015-12-17
40;2015-05-05/2015-06-14
18;2015-01-28/2015-02-15
20;2014-09-23/2014-10-13
15;2014-06-13/2014-06-28
10;2014-01-10/2014-01-20
14;2013-10-02/2013-10-16
10;2013-05-02/2013-05-12
10;2013-04-02/2013-04-12
8;2013-03-05/2013-03-13
12;2012-12-08/2012-12-20
23;2012-11-15/2012-12-08
9;2012-11-03/2012-11-12
13;2012-10-11/2012-10-24
16;2012-07-22/2012-08-07
20;2012-05-13/2012-06-02
27;2012-06-02/2012-06-29
31;2012-02-01/2012-03-03
23;2011-12-21/2012-01-13
26;2011-11-14/2011-12-10
20;2011-06-27/2011-07-17
