durations;datelimits
181;2018-05-07/2018-11-04
155;2017-11-24/2018-04-28
52;2017-09-29/2017-11-20
30;2017-06-30/2017-07-30
31;2017-03-24/2017-04-24
58;2016-11-17/2017-01-14
17;2016-10-26/2016-11-12
24;2016-09-29/2016-10-23
16;2016-09-07/2016-09-23
16;2016-07-24/2016-08-09
7;2016-03-15/2016-03-22
14;2016-02-21/2016-03-06
20;2015-05-11/2015-05-31
45;2014-11-06/2014-12-21
232;2015-05-31/2016-01-18
73;2015-02-27/2015-05-11
59;2014-06-15/2014-08-13
36;2014-01-25/2014-03-02
16;2013-09-17/2013-10-03
7;2013-05-26/2013-06-02
8;2013-04-24/2013-05-02
46;2013-01-23/2013-03-10
70;2012-11-12/2013-01-21
