durations;datelimits
499;2018-02-06/2019-06-20
471;2016-10-23/2018-02-06
277;2016-01-20/2016-10-23
123;2015-09-19/2016-01-20
55;2015-06-03/2015-07-28
27;2014-11-12/2014-12-09
59;2014-08-20/2014-10-18
21;2014-07-09/2014-07-30
35;2014-06-04/2014-07-09
12;2014-05-13/2014-05-25
22;2014-04-10/2014-05-02
14;2013-12-23/2014-01-06
46;2013-09-12/2013-10-28
8;2013-07-08/2013-07-16
9;2013-05-29/2013-06-07
10;2012-12-23/2013-01-02
24;2012-09-21/2012-10-15
10;2012-08-01/2012-08-11
9;2012-06-06/2012-06-15
18;2012-04-05/2012-04-23
17;2012-02-14/2012-03-02
33;2011-12-04/2012-01-06
65;2010-12-05/2011-02-08
91;2011-02-12/2011-05-14
203;2011-05-15/2011-12-04
