durations;datelimits
19;2019-05-09/2019-05-28
12;2019-04-20/2019-05-02
15;2018-10-20/2018-11-04
19;2018-07-25/2018-08-13
25;2018-06-25/2018-07-20
7;2018-04-24/2018-05-01
4;2017-12-06/2017-12-10
4;2017-11-22/2017-11-26
4;2017-10-20/2017-10-24
6;2017-01-01/2017-01-07
5;2016-12-22/2016-12-27
5;2016-12-17/2016-12-22
8;2017-02-10/2017-02-18
9;2016-11-05/2016-11-14
7;2016-01-23/2016-01-30
17;2015-11-16/2015-12-03
9;2015-04-21/2015-04-30
5;2015-03-14/2015-03-19
5;2015-02-07/2015-02-12
7;2014-12-31/2015-01-07
8;2014-12-23/2014-12-31
10;2015-01-25/2015-02-04
12;2014-10-19/2014-10-31
36;2014-06-15/2014-07-21
