durations,datelimits
39.0,2011-11-27/2012-01-05
87.0,2011-07-19/2011-10-14
96.0,2011-03-03/2011-06-07
13.0,2012-04-29/2012-05-12
8.0,2012-04-21/2012-04-29
4.0,2012-05-26/2012-05-30
4.0,2012-06-01/2012-06-05
4.0,2012-08-30/2012-09-03
3.0,2012-07-10/2012-07-13
3.0,2012-10-15/2012-10-18
4.0,2012-11-09/2012-11-13
4.0,2012-11-22/2012-11-26
3.0,2013-01-16/2013-01-19
7.0,2013-02-06/2013-02-13
4.0,2013-02-14/2013-02-18
4.0,2013-04-11/2013-04-15
7.0,2013-06-04/2013-06-11
9.0,2013-12-20/2013-12-29
17.0,2014-02-18/2014-03-07
9.0,2014-12-20/2014-12-29
9.0,2016-05-31/2016-06-09
4.0,2016-04-21/2016-04-25
4.0,2016-05-06/2016-05-10
4.0,2016-05-27/2016-05-31
8.0,2016-08-03/2016-08-11
14.0,2016-08-30/2016-09-13
8.0,2016-09-19/2016-09-27
15.0,2017-08-31/2017-09-15
19.0,2017-12-21/2018-01-09
14.0,2018-05-03/2018-05-17
13.0,2018-08-08/2018-08-21
20.0,2018-12-14/2019-01-03
