durations,datelimits
88.0,2011-08-24/2011-11-20
61.0,2012-05-09/2012-07-09
118.0,2012-10-31/2013-02-26
97.0,2013-02-26/2013-06-03
494.0,2013-06-03/2014-10-10
27.0,2014-12-24/2015-01-20
29.0,2015-02-11/2015-03-12
12.0,2015-01-22/2015-02-03
13.0,2015-05-18/2015-05-31
23.0,2016-03-20/2016-04-12
21.0,2016-02-07/2016-02-28
97.0,2015-10-06/2016-01-11
29.0,2015-08-05/2015-09-03
27.0,2015-06-02/2015-06-29
321.0,2018-08-03/2019-06-20
271.0,2017-08-25/2018-05-23
126.0,2016-09-15/2017-01-19
60.0,2016-06-05/2016-08-04
