durations,datelimits
87.0,2010-12-29/2011-03-26
51.0,2011-08-23/2011-10-13
46.0,2012-01-27/2012-03-13
91.0,2012-03-29/2012-06-28
25.0,2012-10-31/2012-11-25
34.0,2013-01-15/2013-02-18
26.0,2013-02-26/2013-03-24
33.0,2013-06-25/2013-07-28
75.0,2013-08-13/2013-10-27
40.0,2014-04-08/2014-05-18
31.0,2014-01-13/2014-02-13
68.0,2014-09-05/2014-11-12
36.0,2015-05-13/2015-06-18
55.0,2015-08-19/2015-10-13
54.0,2015-10-13/2015-12-06
19.0,2016-03-02/2016-03-21
50.0,2016-03-21/2016-05-10
16.0,2016-06-14/2016-06-30
18.0,2016-06-30/2016-07-18
41.0,2016-08-24/2016-10-04
55.0,2016-10-04/2016-11-28
75.0,2017-09-11/2017-11-25
48.0,2017-11-25/2018-01-12
