dev;username;sleepings;hibernatings;deads
39559;rvagg;[88, 32, 13, 20, 15, 15, 20, 36];[];[]
878519;apapirovski;[8, 17, 37, 63, 35, 40];[];[]
6953277;starkwang;[42, 93];[];[]
21085;danbev;[23, 22, 20, 18, 11, 21, 9, 38, 13, 34];[27];[]
106016;Fishrock123;[22, 27, 22, 51, 85, 83];[];[]
6408;mscdex;[124, 47, 13, 23, 25, 30, 21, 67, 36, 160, 45, 57];[];[]
35842;TheAlphaNerd;[21, 37, 60, 741];[];[]
12066961;bzoz;[69];[];[]
985857;watilde;[234, 42, 74, 120, 251];[68];[]
67164;eugeneo;[29, 37, 45, 83, 114];[];[]
7865263;mhdawson;[105, 36, 72, 41, 21, 72];[];[]
3250792;gireeshpunathil;[257];[];[]
1017115;XadillaX;[216];[];[]
144309;refack;[15, 11, 9, 9, 119, 30, 66, 14, 8, 8, 41];[];[]
2885360;targos;[64, 53, 39, 29, 14, 24, 10, 11];[8];[]
128588;indutny;[34, 47, 31, 13, 21, 24, 18, 36, 90, 220, 196];[];[]
9007;bengl;[144, 177, 161];[];[]
1883496;mmarchini;[41, 48, 89, 56];[];[]
84797;santigimeno;[18, 21, 70, 149, 108];[];[]
289504;TimothyGu;[105, 57, 24, 25, 36];[173];[]
90075;srl295;[144, 177, 161];[];[]
28183;bmeck;[275, 152, 126, 242];[];[]
1240486;maclover7;[23, 16, 137, 25, 140];[];[]
6913142;ofrobots;[24, 30, 86, 35, 110, 28, 32, 44];[];[]
63463;AndreasMadsen;[81, 132, 226, 68, 152];[];[]
61780;ChALkeR;[242, 141, 110];[];[]
1689104;thefourtheye;[25, 15, 16, 15, 27, 28, 39, 42, 157, 121, 108, 103];[];[]
340208;lpinca;[104, 76, 100, 69, 154, 44, 30];[];[]
5790101;joyeecheung;[107, 39, 18, 25, 13, 12, 20, 12];[];[]
289092;sam-github;[164, 233, 35, 26, 20, 19, 175, 156];[];[]
2357898;aqrln;[86, 406];[];[]
19076;JacksonTian;[167, 100, 97, 313, 151];[];[]
12995;lance;[161, 156, 233, 170];[];[]
35486103;shisama;[18, 29, 56];[];[]
230112;misterdjules;[407];[];[]
102246;silverwind;[56, 49, 58, 72, 92, 98];[];[]
6611460;zkat;[145, 223];[];[]
963;bnoordhuis;[106, 11, 11, 21, 17, 8, 13, 13, 32, 29, 13, 13, 10, 13, 95];[];[]
391036;evanlucas;[17, 15, 19, 32, 24, 19, 51, 203];[];[]
33255883;MylesBorins;[137, 175, 34, 20, 13, 15, 24, 25, 42];[];[]
35915910;devsnek;[30, 12, 15, 26, 32];[];[]
2375205;addaleax;[45, 20, 7, 12, 13, 14, 15, 7, 8, 7, 8, 10, 11, 14];[23];[]
212938;jasnell;[51, 25, 9, 10, 12, 14, 12, 27, 25, 17, 18, 11, 12, 13, 11, 23, 20, 11, 55];[];[]
2549841;richardlau;[185, 154];[];[]
883111;yorkie;[140, 67, 340, 486];[];[]
83693;Trott;[35, 32, 19, 7, 11, 4, 5, 4, 3, 7, 7, 4, 4, 4, 5, 11, 10, 13, 7, 7];[];[]
6252488;BridgeAR;[38, 82, 26, 16, 17, 25, 23, 16, 8, 8, 21, 16, 13, 28];[309, 43];[]
6215207;gibfahn;[95, 210, 90];[];[]
932401;cjihrig;[60, 78, 44, 40, 20, 19, 20, 34, 26, 21, 18, 17, 15, 17, 18, 20];[];[]
6084;guybedford;[126];[];[]
709731;fhinkel;[120, 235, 116];[];[]
8651640;ryzokuken;[55];[];[]
1013109;joaocgreis;[70, 98, 45, 110];[];[]
2518790;stefanmb;[895];[];[]
14005;shigeki;[673, 124, 139];[];[]
1421035;tniessen;[26, 26, 21, 24, 29];[];[]
644767;seishun;[72, 48, 79, 116];[];[]
6564006;vsemozhetbyt;[53, 120, 26, 23, 45, 10, 11, 8, 14, 33, 23, 23];[];[]
31284;trevnorris;[42, 33, 76, 36, 51, 36, 202, 264];[];[]
1884277;matthewloring;[102];[];[398]
10;mcollina;[70, 98, 45, 110];[];[]
17381;gabrielschulhof;[41, 66, 33, 24, 22, 39];[];[]
7257;jbergstroem;[149, 124, 769];[];[]
