kevinsawicki,3,37,16,70,31,144,55,14,33,78,16,4,21,343,5,872,0.0194954128440367
benogle,1,1.0
nathansobo,627,628,0.0031847133757961785
thomasjo,2,3,0.6666666666666666
maxbrunsfeld,1,1.0
as-cii,3,5,6,15,0.26666666666666666
