durations;datelimits
96;2018-05-22/2018-08-26
65;2017-12-05/2018-02-08
62;2017-10-04/2017-12-05
38;2017-06-28/2017-08-05
17;2017-03-13/2017-03-30
21;2016-12-22/2017-01-12
30;2016-03-09/2016-04-08
23;2016-01-19/2016-02-11
11;2015-07-23/2015-08-03
11;2015-07-04/2015-07-15
3;2015-05-28/2015-05-31
5;2015-05-22/2015-05-27
3;2015-05-05/2015-05-08
3;2015-03-21/2015-03-24
3;2015-03-11/2015-03-14
4;2015-04-16/2015-04-20
4;2015-03-01/2015-03-05
16;2014-11-21/2014-12-07
21;2015-01-27/2015-02-17
36;2014-12-07/2015-01-12
14;2014-10-23/2014-11-06
15;2014-09-30/2014-10-15
31;2014-08-30/2014-09-30
11;2014-08-14/2014-08-25
6;2014-07-02/2014-07-08
4;2014-06-12/2014-06-16
5;2014-06-03/2014-06-08
4;2014-05-30/2014-06-03
12;2014-04-16/2014-04-28
8;2014-03-19/2014-03-27
8;2013-11-24/2013-12-02
7;2013-11-07/2013-11-14
15;2013-12-11/2013-12-26
