dev;sleepings;hibernatings;deads
acasar;[147, 78, 467, 133];[125, 99];[388]
adamwathan;[315, 227];[324];[]
franzliedke;[216, 65, 224, 254, 162, 154];[111];[]
staudenmeir;[58, 43, 15, 8, 8, 17, 30];[];[555]
tillkruss;[48, 34, 18, 50, 17, 57, 66, 44];[133, 99, 52];[]
sileence;[104, 85, 432];[];[]
taylorotwell;[8, 9, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 3, 4, 5, 5, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 7, 7, 7, 4, 3, 3];[3];[]
Anahkiasen;[822, 686];[327];[]
halaei;[146, 192];[];[]
themsaid;[19, 7, 15, 29, 9, 11, 10, 9, 13, 15, 40, 28, 50, 26, 74, 42, 54];[];[]
TBlindaruk;[33, 8];[13, 24, 34];[]
laurencei;[84, 216, 322, 56, 93, 216, 236];[];[]
GrahamCampbell;[39, 20, 18, 37, 14, 22, 13, 11, 20, 23, 33, 112, 28, 25, 10, 13, 17, 86];[];[]
barryvdh;[198, 203, 395];[];[]
rkgrep;[104, 120, 968];[68];[]
arrilot;[71, 67, 89, 256];[252];[608]
anlutro;[23, 1007, 134];[187];[399]
driesvints;[277, 296, 224, 496, 105, 34, 12, 13, 22];[56, 226];[]
vlakoff;[160, 76, 276, 33, 22, 24, 67, 182];[203];[]
KennedyTedesco;[147, 186, 213];[];[]
dwightwatson;[233, 263];[];[]
JosephSilber;[74, 48, 58, 35, 23, 10, 9, 16, 20, 19, 35, 17, 33, 21, 28, 25, 101, 27, 55, 23, 127, 63, 83, 106, 190];[];[]
crynobone;[103, 95, 68, 229, 106, 124];[];[]
lucasmichot;[55, 36, 40, 30, 23, 13, 18, 23, 19, 58, 28, 84, 43, 35, 129, 20, 78, 148];[137];[]
carusogabriel;[95, 114];[];[]
mnabialek;[67, 103, 252, 116, 108, 77, 117];[];[]
browner12;[142, 117];[];[]
