"[77, '2011-08-25/2011-11-10']","['sot', 77, '2011-08-25/2011-11-10']"
"[61, '2012-09-10/2012-11-10']","['sot', 61, '2012-09-10/2012-11-10']"
"[127, '2013-01-06/2013-05-13']","['sot', 127, '2013-01-06/2013-05-13']"
"[149, '2013-12-04/2014-05-02']","['sot', 149, '2013-12-04/2014-05-02']"
"[204, '2015-02-11/2015-09-03']","['sot', 204, '2015-02-11/2015-09-03']"
"[447, '2016-08-16/2017-11-06']","['sot', 447, '2016-08-16/2017-11-06']"
