"[49, '2017-10-17/2017-12-05']","['h', 33, '2017-10-17/2017-11-19']"
"[177, '2018-05-02/2018-10-26']","['sot', 177, '2018-05-02/2018-10-26']"
"[103, '2018-11-06/2019-02-17']","['sot', 103, '2018-11-06/2019-02-17']"
"[123, '2019-02-17/2019-06-20']","['sot', 123, '2019-02-17/2019-06-20']"
