"[793, '2009-11-07/2012-01-09']","['d', 716, '2009-11-07/2011-10-24']","['sot', 77, '2011-10-24/2012-01-09']"
"[214, '2012-02-04/2012-09-05']","['sot', 214, '2012-02-04/2012-09-05']"
"[406, '2012-09-13/2013-10-24']","['sot', 406, '2012-09-13/2013-10-24']"
"[1299, '2015-02-08/2018-08-30']","['sot', 1299, '2015-02-08/2018-08-30']"
