alanjrogers,4,56,68,38,36,283,488,0.018442622950819672
AliSoftware,26,10,3,9,5,59,0.1864406779661017
jspahrsummers,64,97,131,108,39,191,36,667,0.01199400299850075
joshaber,4,4,71,18,392,77,567,0.012345679012345678
joshvera,1,1.0
robrix,13,14,0.14285714285714285
mdiep,1,1.0
