durations,datelimits
129.0,2011-01-08/2011-05-17
26.0,2011-09-07/2011-10-03
63.0,2011-05-17/2011-07-19
26.0,2011-11-04/2011-11-30
21.0,2012-01-06/2012-01-27
24.0,2012-03-03/2012-03-27
35.0,2012-05-31/2012-07-05
72.0,2012-07-05/2012-09-15
16.0,2012-10-10/2012-10-26
23.0,2012-11-06/2012-11-29
20.0,2013-01-17/2013-02-06
122.0,2013-05-09/2013-09-08
31.0,2014-01-22/2014-02-22
27.0,2013-12-26/2014-01-22
20.0,2014-04-01/2014-04-21
87.0,2014-05-01/2014-07-27
82.0,2014-10-30/2015-01-20
52.0,2015-07-17/2015-09-07
37.0,2015-11-03/2015-12-10
45.0,2015-12-18/2016-02-01
25.0,2016-02-01/2016-02-26
24.0,2016-06-06/2016-06-30
76.0,2016-09-21/2016-12-06
29.0,2016-06-30/2016-07-29
60.0,2016-12-09/2017-02-07
99.0,2017-02-07/2017-05-17
94.0,2017-07-06/2017-10-08
171.0,2018-03-02/2018-08-20
