durations,datelimits
18.0,2012-02-13/2012-03-02
19.0,2012-04-05/2012-04-24
26.0,2012-07-07/2012-08-02
25.0,2012-09-21/2012-10-16
18.0,2012-08-15/2012-09-02
19.0,2012-12-20/2013-01-08
7.0,2012-12-05/2012-12-12
7.0,2013-02-14/2013-02-21
8.0,2013-05-29/2013-06-06
8.0,2013-07-08/2013-07-16
45.0,2013-09-12/2013-10-27
14.0,2013-12-23/2014-01-06
9.0,2014-01-31/2014-02-09
15.0,2014-06-24/2014-07-09
78.0,2014-08-19/2014-11-05
27.0,2014-11-12/2014-12-09
13.0,2015-01-21/2015-02-03
13.0,2015-02-03/2015-02-16
69.0,2015-05-20/2015-07-28
216.0,2016-03-21/2016-10-23
93.0,2015-09-19/2015-12-21
248.0,2017-06-07/2018-02-10
130.0,2016-10-23/2017-03-02
