durations,datelimits
19.0,2011-02-13/2011-03-04
23.0,2011-04-07/2011-04-30
19.0,2011-05-19/2011-06-07
8.0,2011-10-18/2011-10-26
13.0,2011-10-30/2011-11-12
24.0,2011-11-12/2011-12-06
15.0,2012-01-13/2012-01-28
9.0,2012-01-30/2012-02-08
11.0,2012-03-17/2012-03-28
22.0,2012-05-22/2012-06-13
33.0,2012-06-29/2012-08-01
30.0,2012-08-08/2012-09-07
31.0,2013-05-17/2013-06-17
33.0,2013-11-01/2013-12-04
29.0,2013-09-20/2013-10-19
30.0,2014-03-08/2014-04-07
22.0,2014-09-23/2014-10-15
28.0,2014-12-15/2015-01-12
35.0,2015-01-19/2015-02-23
42.0,2015-02-23/2015-04-06
46.0,2015-07-10/2015-08-25
42.0,2016-02-22/2016-04-04
703.0,2017-01-28/2019-01-01
