"[78.0, '2015-08-25/2015-11-11']","['h', 24, '2015-08-25/2015-09-18']","['sot', 54, '2015-09-18/2015-11-11']"
"[33.0, '2016-03-10/2016-04-12']","['sot', 33, '2016-03-10/2016-04-12']"
"[70.0, '2016-08-18/2016-10-27']","['sot', 70, '2016-08-18/2016-10-27']"
"[796, '2016-10-27/2019-01-01']","['sot', 796, '2016-10-27/2019-01-01']"
