durations;datelimits
30;2019-03-09/2019-04-08
40;2018-12-10/2019-01-19
54;2018-09-12/2018-11-05
12;2018-08-31/2018-09-12
16;2018-08-15/2018-08-31
15;2018-07-27/2018-08-11
54;2018-05-31/2018-07-24
19;2018-03-09/2018-03-28
35;2017-12-22/2018-01-26
23;2017-11-29/2017-12-22
20;2017-09-29/2017-10-19
13;2017-09-11/2017-09-24
53;2017-07-20/2017-09-11
16;2017-04-04/2017-04-20
18;2017-01-26/2017-02-13
29;2016-12-08/2017-01-06
49;2016-08-23/2016-10-11
36;2016-06-30/2016-08-05
58;2015-12-08/2016-02-04
88;2016-02-12/2016-05-10
