durations;datelimits
8;2019-06-05/2019-06-13
15;2019-02-05/2019-02-20
28;2018-10-17/2018-11-14
16;2018-07-18/2018-08-03
32;2018-05-31/2018-07-02
12;2018-03-20/2018-04-01
12;2018-01-03/2018-01-15
23;2017-11-13/2017-12-06
25;2017-10-19/2017-11-13
18;2017-10-01/2017-10-19
16;2017-07-26/2017-08-11
