durations;datelimits
42;2019-04-24/2019-06-05
28;2019-03-27/2019-04-24
16;2019-02-21/2019-03-09
34;2018-07-03/2018-08-06
13;2018-06-20/2018-07-03
38;2017-12-26/2018-02-02
9;2017-09-05/2017-09-14
21;2017-07-17/2017-08-07
10;2017-07-07/2017-07-17
20;2016-12-28/2017-01-17
22;2016-12-06/2016-12-28
