user_id,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05
josevalim,8,14,9,2,0,0,0,0,1,1,0,0
fhunleth,0,1,0,0,0,0,0,0,0,0,0,0
craigp,0,0,1,0,0,0,0,0,0,0,0,0
whatyouhide,0,0,0,2,1,0,0,0,0,0,0,0
rodrigues,0,0,0,0,0,0,0,0,0,0,0,1
