user_id,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20
AndreHeinecke,3,0,0,0,0,0
dd9jn,0,6,0,0,0,0
dctucker,0,0,0,0,1,0
