"[147, '2014-02-14/2014-07-11']","['sot', 147, '2014-02-14/2014-07-11']"
"[186, '2017-08-02/2018-02-04']","['sot', 186, '2017-08-02/2018-02-04']"
"[213, '2018-06-07/2019-01-06']","['sot', 213, '2018-06-07/2019-01-06']"
