"[351, '2016-01-09/2016-12-25']","['h', 240, '2016-01-09/2016-09-05']"
"[184, '2017-01-18/2017-07-21']","['sot', 184, '2017-01-18/2017-07-21']"
"[146, '2019-01-25/2019-06-20']","['sot', 146, '2019-01-25/2019-06-20']"
