durations,datelimits
3.0,2011-11-18/2011-11-21
7.0,2012-01-05/2012-01-12
18.0,2012-10-07/2012-10-25
33.0,2012-12-03/2013-01-05
9.0,2012-11-24/2012-12-03
9.0,2013-07-20/2013-07-29
4.0,2014-10-16/2014-10-20
3.0,2014-12-05/2014-12-08
3.0,2014-12-11/2014-12-14
3.0,2015-01-09/2015-01-12
3.0,2015-04-04/2015-04-07
3.0,2015-08-21/2015-08-24
3.0,2016-04-22/2016-04-25
3.0,2016-07-29/2016-08-01
3.0,2017-03-10/2017-03-13
3.0,2017-04-12/2017-04-15
3.0,2017-04-28/2017-05-01
3.0,2017-05-19/2017-05-22
4.0,2017-11-23/2017-11-27
3.0,2017-12-08/2017-12-11
3.0,2018-04-26/2018-04-29
4.0,2018-06-22/2018-06-26
3.0,2018-07-23/2018-07-26
3.0,2018-12-21/2018-12-24
3.0,2018-12-24/2018-12-27
