durations,datelimits
55.0,2013-12-04/2014-01-28
36.0,2014-01-28/2014-03-05
40.0,2014-03-06/2014-04-15
30.0,2014-05-07/2014-06-06
23.0,2014-10-03/2014-10-26
13.0,2014-11-10/2014-11-23
17.0,2014-11-24/2014-12-11
23.0,2015-01-05/2015-01-28
19.0,2015-01-28/2015-02-16
58.0,2015-07-01/2015-08-28
27.0,2015-10-09/2015-11-05
63.0,2016-03-02/2016-05-04
43.0,2016-11-02/2016-12-15
35.0,2017-04-10/2017-05-15
117.0,2017-09-21/2018-01-16
43.0,2018-11-22/2019-01-04
48.0,2019-01-22/2019-03-11
101.0,2019-03-11/2019-06-20
