durations,datelimits
102.0,2013-11-17/2014-02-27
50.0,2014-07-09/2014-08-28
22.0,2014-06-04/2014-06-26
29.0,2015-03-24/2015-04-22
31.0,2015-05-01/2015-06-01
12.0,2015-07-01/2015-07-13
11.0,2015-10-10/2015-10-21
5.0,2015-08-12/2015-08-17
7.0,2015-11-09/2015-11-16
8.0,2015-11-23/2015-12-01
4.0,2016-03-11/2016-03-15
8.0,2016-05-02/2016-05-10
26.0,2016-05-11/2016-06-06
14.0,2016-06-06/2016-06-20
22.0,2016-06-23/2016-07-15
11.0,2016-08-15/2016-08-26
21.0,2016-08-30/2016-09-20
149.0,2016-11-01/2017-03-30
113.0,2017-05-15/2017-09-05
107.0,2017-12-04/2018-03-21
71.0,2018-08-22/2018-11-01
