wfarr,1,1.0
kevinsawicki,14,63,3,4,55,23,51,4,91,20,329,0.03343465045592705
benogle,3,33,79,94,15,15,240,0.029166666666666667
nathansobo,2,296,55,9,363,0.013774104683195593
Uko,1,1.0
dgraham,14,15,0.13333333333333333
simurai,102,18,2,18,3,17,59,255,19,58,26,35,590,1208,0.015728476821192054
edloidas,267,268,0.007462686567164179
as-cii,10,11,0.18181818181818182
lee-dohm,4,5,0.4
cold-coder,4,5,0.4
jasonrudolph,7,8,0.25
