as-cii,3,2,5,3,2,2,4,2,7,6,4,3,27,21,4,4,3,7,2,4,2,3,3,3,2,2,2,3,2,4,3,3,6,6,21,6,23,6,6,8,268,0.2947761194029851
nathansobo,29,2,17,2,3,7,2,15,5,4,2,3,18,2,27,54,218,0.1926605504587156
jasonrudolph,3,3,5,3,4,3,5,2,48,5,3,17,7,4,9,6,2,3,7,7,6,2,11,8,14,31,2,30,15,3,2,4,9,3,5,4,3,8,7,14,352,0.1846590909090909
icetee,1,1.0
joewalnes,1,1.0
