"[172.0, '2012-07-14/2013-01-02']","['h', 156, '2012-07-14/2012-12-17']"
"[24.0, '2013-01-08/2013-02-01']","['sot', 24, '2013-01-08/2013-02-01']"
"[13.0, '2013-04-04/2013-04-17']","['sot', 13, '2013-04-04/2013-04-17']"
"[208.0, '2014-03-16/2014-10-10']","['h', 30, '2014-03-16/2014-04-15']","['sot', 37, '2014-04-15/2014-05-22']","['h', 67, '2014-06-01/2014-07-28']","['sot', 30, '2014-07-28/2014-08-27']","['h', 44, '2014-09-06/2014-10-10']"
"[173.0, '2014-10-10/2015-04-01']","['h', 21, '2014-10-10/2014-10-31']","['sot', 30, '2014-10-31/2014-11-30']","['h', 28, '2014-12-08/2014-12-28']","['sot', 68, '2014-12-28/2015-03-06']","['h', 26, '2015-03-14/2015-04-01']"
"[14.0, '2015-04-01/2015-04-15']","['sot', 14, '2015-04-01/2015-04-15']"
