durations,datelimits
24.0,2014-02-11/2014-03-07
47.0,2014-05-04/2014-06-20
13.0,2014-10-17/2014-10-30
14.0,2014-12-16/2014-12-30
9.0,2015-10-20/2015-10-29
4.0,2016-01-15/2016-01-19
7.0,2016-03-24/2016-03-31
19.0,2016-07-15/2016-08-03
11.0,2016-08-05/2016-08-16
7.0,2016-08-19/2016-08-26
9.0,2016-10-23/2016-11-01
7.0,2016-12-14/2016-12-21
16.0,2017-01-23/2017-02-08
9.0,2017-05-29/2017-06-07
7.0,2017-02-08/2017-02-15
7.0,2017-05-17/2017-05-24
11.0,2017-08-19/2017-08-30
7.0,2017-10-05/2017-10-12
4.0,2017-10-19/2017-10-23
10.0,2017-10-26/2017-11-05
9.0,2018-01-09/2018-01-18
12.0,2018-01-24/2018-02-05
8.0,2018-05-02/2018-05-10
12.0,2018-08-24/2018-09-05
8.0,2018-12-13/2018-12-21
8.0,2019-06-03/2019-06-11
