durations,datelimits
56.0,2017-06-27/2017-08-22
12.0,2017-10-05/2017-10-17
20.0,2017-12-22/2018-01-11
20.0,2018-01-11/2018-01-31
14.0,2018-03-05/2018-03-19
24.0,2018-04-09/2018-05-03
18.0,2018-05-05/2018-05-23
28.0,2018-05-23/2018-06-20
17.0,2018-07-28/2018-08-14
18.0,2018-08-14/2018-09-01
17.0,2018-11-09/2018-11-26
13.0,2019-01-09/2019-01-22
27.0,2019-03-05/2019-04-01
15.0,2019-05-16/2019-05-31
