dev;sleepings;hibernatings;deads
50Wliu;[101, 47, 21, 22, 17, 17, 19, 22, 18, 22, 70, 44, 51, 32];[];[]
kevinnathan;[365];[166, 70, 25, 33, 132];[1490]
lee-dohm;[89, 80, 18, 10, 22, 14, 40, 31, 28, 129, 119];[];[]
Ben3eeE;[88, 137, 73, 127, 68, 162];[];[]
smashwilson;[74, 62, 87, 84, 39, 86, 18, 15, 27, 22, 33, 43];[254, 35];[420]
anaisbetts;[517, 735];[];[411]
damieng;[20, 12, 14, 22, 68, 78, 217];[54];[]
matthewwithanm;[92, 94, 147, 94, 87];[234];[]
thomasjo;[27, 127, 90, 36, 17, 20, 104, 45, 35, 28, 42, 175, 239, 247];[47, 132];[]
probablycorey-and-nathan;[];[84, 42, 139, 55, 47, 20, 18, 13, 13];[1829]
joshaber;[13, 9, 10, 90, 44, 116, 38];[10, 49, 93, 21];[672]
nathansobo;[13, 8, 10, 9, 16, 26, 34, 13, 12, 12, 10, 17, 4, 6, 7, 11, 5, 10, 13, 21, 56, 20, 15, 13, 13, 20, 18, 14, 13, 14, 35, 25, 42, 63, 54];[5, 6, 5, 23, 8, 18, 34, 105, 75];[]
kevinsawicki;[14, 10, 12, 4, 4, 4, 5, 4, 5, 11, 6, 13, 20, 41, 261, 98, 132, 112, 311];[7, 20, 19, 17, 44, 133, 140];[]
simurai;[25, 19, 28, 33, 12, 9, 9, 14, 11, 14, 54, 14, 14, 21, 27, 89, 49, 111];[12];[]
benogle;[17, 49, 53, 14, 5, 16, 4, 4, 6, 5, 34, 27, 54, 204, 90, 688];[13, 9, 83, 140];[]
maxbrunsfeld;[7, 13, 14, 18, 12, 18, 12, 131, 10, 10, 13, 27, 14, 10, 9, 15, 12, 15, 29, 29];[10, 54];[]
mnquintana;[48, 29, 15, 12, 26, 26, 85, 57, 71, 941];[];[]
BinaryMuse;[113, 43, 42, 23, 19, 41, 247, 165];[22, 115];[]
jasonrudolph;[118, 323, 114, 32, 55, 20, 21, 90];[310, 36];[416]
as-cii;[16, 14, 16, 12, 17, 8, 11, 8, 11, 9, 25, 10, 9, 5, 4, 9, 5, 7, 28, 16, 30, 24, 102, 198];[6, 95];[]
mcolyer;[13, 13, 525, 22, 27];[13, 49, 42];[1325]
bolinfest;[167, 53, 377, 672];[140];[]
probablykevin;[];[];[2171]
kuychaco;[78, 106, 120, 53, 84, 60, 204, 134];[];[]
iolsen;[168, 71, 72, 197, 109];[165];[]
hubot;[];[62, 62, 78];[]
leroix;[11, 23, 155, 14];[28, 311, 16];[]
thedaniel;[79, 89, 47, 298, 461];[147, 227];[]
zcbenz;[29, 20, 15, 13, 20, 12, 15, 23, 18, 19, 13, 28, 38, 57, 925];[311];[]
izuzak;[31, 145, 14, 13, 13, 20, 146, 70, 105, 193, 151];[261, 225, 70, 42, 42];[]
