dev;username;sleepings;hibernations;deads
17928;cpojer;[274, 148, 110, 331];[];[458]
86521;vjeux;[80, 150, 116, 333];[];[432]
10548;zpao;[5, 6, 5, 11, 7, 7, 7, 10, 10, 11, 8, 10, 20, 28, 26, 29, 157, 98];[16, 22, 22, 45, 364];[]
18823;koba04;[197, 102, 85, 50, 56, 56, 182];[];[]
1143927;syranide;[109, 455, 119, 699];[153];[]
7122;spicyj;[18, 12, 9, 9, 13, 46, 15, 36, 16, 20, 9, 11, 14, 13, 23, 30, 33, 38, 497];[];[]
1544938;trueadm;[257, 135];[];[]
2520674;jquense;[107, 270, 95, 151];[];[]
350296;petehunt;[25, 14, 11, 9, 7, 11, 34, 66, 273, 36, 61, 198];[230, 82, 85];[573]
52565;yungsters;[27, 82, 48, 102, 238, 237, 302];[280];[]
30225;nhunzaker;[240, 117, 106, 31, 19, 26, 137, 53, 53, 56];[237];[]
1579646;acdlite;[60, 34, 17, 13, 24, 12, 16, 20, 18, 28];[25];[]
3716767;flarnie;[206, 28, 21, 16, 41, 33, 160];[23, 46, 28];[]
4597;sebmarkbage;[86, 85, 35, 18, 58, 20, 22, 29, 91, 34, 16, 12, 21, 13, 10, 21, 11, 14, 43, 36, 67, 35];[];[]
6057533;jsfb;[1337];[];[]
2551;benjamn;[22, 22, 79, 311, 320];[299];[698]
417948;gaearon;[442, 71, 60, 16, 10, 10, 10, 15, 12, 36, 15, 13, 34];[48];[]
2254823;keyanzhang;[185, 85];[];[438]
1637088;bvaughn;[22, 16, 10, 20, 17, 8, 8, 13, 29, 12, 12, 13];[];[]
4761660;Aweary;[55, 50, 50, 52, 116, 43];[];[]
8075646;jimfb;[14, 12, 11, 11, 8, 11, 11, 137, 69, 202];[332, 183];[]
1714317;chenglou;[16, 16, 18, 50, 75, 372, 150, 195];[338, 206];[]
