tenderlove,10,21,82,791,906,0.006622516556291391
carlosmn,4,79,2,304,487,877,0.0068415051311288486
brianmario,1,1.0
arthurschreiber,152,153,0.013071895424836602
charliesome,2,1.0
spraints,3,3,29,4,7,47,0.1276595744680851
