sskates,1,1.0
keith,22,4,4,3,4,4,4,12,2,2,4,3,3,2,3,2,2,4,5,5,6,187,0.5775401069518716
nicklockwood,2,2,3,6,3,2,2,2,2,2,2,2,2,2,4,3,7,2,22,3,7,23,15,11,2,4,16,4,2,7,8,188,0.2393617021276596
bennyguitar,4,9,7,2,3,6,5,12,4,27,5,2,16,18,2,2,12,11,153,0.1568627450980392
jpjoyal,7,24,16,29,78,0.07692307692307693
dasmer,17,15,15,48,0.08333333333333333
hpique,4,4,15,32,13,38,13,33,7,164,0.08536585365853659
nst,65,16,43,125,0.032
soffes,5,3,2,7,2,3,2,20,3,18,37,41,12,10,20,188,0.09574468085106383
bbernberg,2,1.0
potlee,2,1.0
jkrumow,3,4,35,6,40,90,0.07777777777777778
domesticmouse,4,68,31,104,0.038461538461538464
martinrybak,6,14,2,6,17,4,12,57,119,0.07563025210084033
cromandini,5,4,112,17,140,0.04285714285714286
saturngod,4,5,0.4
otaviocc,1,1.0
mixdesign,1,1.0
lukwol,52,53,0.03773584905660377
iDay,16,44,61,0.04918032786885246
rhodgkins,44,12,20,30,17,124,0.04838709677419355
bawn,1,1.0
AlvaroFranco,8,2,3,26,2,4,7,2,34,2,17,4,4,3,15,32,168,0.1130952380952381
xhzengAIB,10,21,18,5,2,2,5,2,8,16,3,2,3,3,2,2,5,4,3,2,6,13,6,3,2,4,3,11,7,2,187,0.22459893048128343
thibaultcha,31,13,18,63,0.06349206349206349
Ulianko,33,35,0.08571428571428572
adamwaite,5,3,76,93,178,0.028089887640449437
Bruno-Furtado,36,39,0.10256410256410256
Infinity-James,1,1.0
kishikawakatsumi,14,12,3,3,34,0.17647058823529413
DanielHeckrath,2,2,6,0.6666666666666666
vilanovi,6,3,4,5,7,3,8,3,10,8,2,7,3,4,77,0.23376623376623376
michalkonturek,4,5,7,7,5,3,4,12,22,4,2,4,7,13,13,27,9,7,15,5,179,0.1340782122905028
YasKuraishi,127,3,131,0.022900763358778626
cvanderschuere,1,1.0
dstnbrkr,186,187,0.0106951871657754
joeldev,54,55,0.03636363636363636
mustangostang,1,1.0
frenetisch-applaudierend,15,4,32,40,15,39,147,0.05442176870748299
kaneshin,26,28,0.10714285714285714
wilg,97,10,26,39,173,0.028901734104046242
eppz,1,1.0
jandro-es,1,1.0
ScottPetit,46,33,80,0.0375
vtourraine,9,8,37,28,6,2,94,0.10638297872340426
vbergae,20,40,61,0.04918032786885246
bpoplauschi,3,56,4,2,9,5,2,16,15,15,8,5,11,3,14,7,4,5,186,0.10752688172043011
chrismaddern,4,5,0.4
jverdi,54,105,160,0.01875
dblock,6,5,16,25,4,7,3,14,81,0.1111111111111111
rivera-ernesto,2,6,8,7,3,6,7,6,26,29,15,32,16,13,186,0.12903225806451613
austindavidbrown,1,1.0
niravspaceo,1,1.0
pietbrauer,13,8,22,12,76,15,149,0.06040268456375839
kean,25,3,48,56,134,0.04477611940298507
grevolution,5,5,2,6,59,56,10,6,2,152,0.06578947368421052
joewalnes,29,85,115,0.02608695652173913
AndrewShmig,7,36,44,0.06818181818181818
sergik-ru,26,113,140,0.02142857142857143
TheRealKerni,42,93,49,185,0.021621621621621623
erikprice,158,159,0.012578616352201259
cwalcott,2,36,11,2,61,16,4,4,7,14,6,15,5,185,0.08108108108108109
karpelcev,57,58,0.034482758620689655
pkamb,36,3,18,35,3,18,27,22,5,168,0.05952380952380952
BennettSmith,2,119,122,0.02459016393442623
DHowett,9,6,2,28,39,17,9,25,6,14,7,5,4,13,186,0.08602150537634409
azu,9,3,14,17,7,10,7,8,7,13,13,14,2,5,5,8,7,5,10,3,3,5,183,0.16393442622950818
bvirlet,1,1.0
sebastienwindal,28,52,6,4,37,129,0.05426356589147287
u10int,18,17,25,61,0.06557377049180328
y94,2,105,108,0.027777777777777776
matinm,20,6,4,3,5,2,9,11,65,0.2
RomanTruba,5,18,53,6,2,22,3,3,5,9,24,7,161,0.09937888198757763
rahulgautam,1,1.0
PlenipotentSS,2,1.0
bfolder,7,8,0.25
mattt,2,3,9,2,4,4,3,7,3,3,10,11,2,11,3,10,3,3,6,13,3,10,5,2,17,2,3,12,6,178,0.19662921348314608
nakajijapan,78,17,97,0.041237113402061855
khanlou,40,41,0.04878048780487805
shmidt,20,21,0.09523809523809523
jbmorley,50,9,60,0.05
murraysagal,5,7,0.42857142857142855
romaonthego,10,4,3,31,69,26,3,2,152,0.07894736842105263
michaelkamphausen,142,25,169,0.023668639053254437
zwaldowski,11,2,49,100,163,0.03067484662576687
jonreid,24,36,25,87,0.05747126436781609
bdbergeron,17,47,46,21,2,6,37,178,0.05056179775280899
alikaragoz,13,31,4,106,30,185,0.032432432432432434
dcaunt,65,66,0.030303030303030304
mtnbarreto,29,46,29,36,141,0.03546099290780142
robb,27,10,132,170,0.023529411764705882
calvincestari,2,126,129,0.023255813953488372
choefele,39,25,15,13,28,33,156,0.057692307692307696
jmig,36,37,0.05405405405405406
jefflopes,1,1.0
leedaffen,1,1.0
Busta117,3,13,12,2,5,86,8,18,148,0.060810810810810814
lazerwalker,28,7,5,20,62,0.0967741935483871
levigroker,6,2,60,5,5,47,3,24,156,0.07692307692307693
tonyarnold,6,51,18,77,0.06493506493506493
mmllr,3,8,0.75
cikelengfeng,168,5,176,0.028409090909090908
JExcellent,13,16,0.25
DimaVartanian,46,47,0.0425531914893617
rlaferla,1,1.0
danielamitay,144,145,0.013793103448275862
candyan,142,11,154,0.01948051948051948
bengotow,3,104,21,28,7,18,182,0.038461538461538464
DenTelezhkin,2,9,16,13,15,19,5,3,5,18,10,13,11,3,17,5,170,0.12941176470588237
odrobnik,5,38,12,26,2,28,2,19,7,141,0.07801418439716312
epologee,15,7,3,14,2,5,80,2,27,159,0.08176100628930817
akisute,1,1.0
pavelosipov,1,1.0
MichMich,2,1.0
wzbozon,21,3,30,25,3,86,0.10465116279069768
samwize,2,3,0.6666666666666666
yonido,1,1.0
MonsieurDart,1,1.0
spenrose,1,1.0
tobihagemann,180,182,0.016483516483516484
kaalita,27,66,5,99,0.04040404040404041
daltoniam,13,3,9,2,3,4,2,2,20,6,5,2,29,17,12,37,10,181,0.12154696132596685
streeter,15,7,23,0.13043478260869565
olegam,50,104,155,0.01935483870967742
sts2055,2,1.0
ddebin,21,22,0.09090909090909091
FloresRobles,159,162,0.024691358024691357
TalLevAmi,5,43,62,111,0.036036036036036036
grigutis,5,24,32,63,0.07936507936507936
