durations;datelimits
95;2018-06-22/2018-09-25
10;2018-01-07/2018-01-17
13;2017-12-25/2018-01-07
8;2017-10-26/2017-11-03
9;2017-10-15/2017-10-24
13;2017-11-24/2017-12-07
10;2017-09-08/2017-09-18
32;2016-12-22/2017-01-23
13;2016-09-08/2016-09-21
17;2016-03-08/2016-03-25
14;2016-01-19/2016-02-02
21;2015-12-17/2016-01-07
11;2015-10-10/2015-10-21
14;2015-07-01/2015-07-15
17;2015-05-29/2015-06-15
14;2015-05-11/2015-05-25
15;2015-04-14/2015-04-29
23;2014-11-11/2014-12-04
28;2014-10-14/2014-11-11
517;2013-05-15/2014-10-14
