dev;username;sleepings;hibernatings;deads
4896;radar;[60, 58, 51, 774, 261, 551];[33, 27, 81, 118, 59, 71, 91, 166, 297];[395]
3780;javan;[443];[];[]
165022;kaspth;[97, 38, 54, 16, 9, 9, 7, 15, 7, 9, 7, 12, 13, 18, 24, 24, 48];[76, 120, 71, 42];[]
93375;tarmo;[2577];[131, 92];[915]
461672;y-yagi;[26, 36, 49, 41, 86, 61, 54, 38, 23, 11, 7, 8, 7, 25, 19, 15];[];[]
16484;jeremy;[129, 26, 63, 26, 21, 24, 35, 72, 16, 23, 20, 122, 31, 27, 20, 87, 82, 52, 37, 45, 25, 24, 76, 29, 60, 99, 94, 171];[74, 46, 18, 12, 23, 7, 7, 18, 14, 11, 19, 50, 11, 14, 26, 14, 18, 26, 50, 69, 54];[]
28121;brainopia;[745, 1254];[];[]
1565;josh;[97, 202, 263, 611, 726];[358, 19, 29, 12, 9, 11, 17, 13, 16, 114];[665]
8941;pixeltrix;[50, 153, 110, 26, 26, 21, 21, 47, 37, 54, 90, 45, 29, 22, 52, 21, 96, 47, 67, 102, 71, 93, 24, 54];[20, 20, 43, 96, 42, 58, 161, 57];[380]
29128;zzak;[180, 91, 13, 17, 13, 18, 12, 46, 66, 168, 198, 493];[33, 50, 12, 16, 16, 77];[]
3249585;bogdanvlviv;[141];[];[]
23459;claudiob;[47, 178, 166, 53, 29, 32, 24, 23, 20, 23, 67, 26, 144, 81, 237];[106, 221, 154, 51, 95];[]
86929;matthewd;[78, 26, 18, 16, 31, 26, 49, 30, 25, 31, 24, 27, 17, 16, 19, 47, 26, 79];[];[]
99040;kirs;[1084, 350, 526];[];[]
1240486;maclover7;[73, 22, 17, 12, 21, 8, 14, 18, 70, 70, 41];[38, 137, 253];[]
45381;senny;[67, 104, 23, 37, 15, 11, 10, 7, 9, 11, 8, 11, 13, 27, 45, 34, 47, 644];[20, 104, 11, 143, 53];[]
3925;frodsan;[49, 165, 64, 470, 288, 99];[279];[788]
304694;akshay-vishnoi;[191, 452, 264];[];[393]
2453684;gmcgibbon;[156, 17];[288];[]
26392;NZKoz;[295, 445];[122, 60, 123, 37, 19, 24];[1163]
8147;jonleighton;[15, 17, 18, 21, 56, 127, 350, 169];[];[753, 786, 466]
14672;drogus;[135, 45, 30, 31, 127, 71, 587, 282];[25, 41, 40, 16, 22, 151];[791]
2094;amatsuda;[147, 65, 59, 81, 104, 58, 86, 26, 88, 75];[160, 44, 58, 89, 117, 69, 122, 94, 312];[]
8148;carlosantoniodasilva;[18, 19, 26, 25, 18, 19, 7, 7, 8, 8, 45, 14, 9, 15, 78, 27, 13, 13, 69, 216, 93, 248, 130];[12, 22, 65, 32, 91, 203, 20, 19, 91, 325, 97];[]
4690;lest;[55, 106, 110, 979];[];[1171]
8174;fxn;[13, 15, 33, 35, 26, 24, 19, 27, 17, 13, 30, 31, 25, 46, 25, 54, 13, 13, 18, 13, 22, 91, 53];[9, 11, 8, 10, 21, 26, 47, 281, 107];[]
1924346;tgxworld;[18, 42, 163, 47, 46, 308, 274, 88, 174];[33, 97, 88, 136];[]
13201;arunagw;[20, 17, 53, 29, 22, 23, 70, 82, 123, 49, 77, 79, 61, 46, 56, 275];[68, 47];[]
23455;vishnuatrai;[72, 56, 439, 1595];[49];[417]
50536;neerajdotname;[356, 112, 465, 1485];[96, 36, 17, 17, 25, 182];[]
64341;vipulnsward;[50, 62, 39, 47, 151, 181, 370, 71, 18, 24, 16, 24, 17, 65, 32, 29, 30, 52, 155, 181];[];[]
23465;al2o3cr;[240, 582, 1691];[154];[716]
884658;seuros;[159, 74, 33, 17, 16, 14, 29, 22, 31, 849];[23, 350, 147];[]
23468;vijaydev;[24, 14, 8, 7, 7, 12, 10, 18, 54, 37, 48, 37, 98, 270];[135, 40, 7, 40, 223];[]
29097;ernie;[338, 613];[];[578, 1571]
13159;mikel;[44, 97, 243, 177, 2058];[77, 68, 167];[]
129;tenderlove;[94, 43, 9, 14, 14, 20, 17, 42, 17, 15, 11, 19, 21, 34, 33, 22, 12, 15, 40, 33, 60, 83, 145, 188];[24, 15, 26, 125, 141];[]
5113;guilleiguaran;[57, 47, 45, 28, 16, 15, 11, 19, 19, 10, 13, 33, 61, 31, 31, 29, 51];[18, 45, 120, 60, 43, 55];[]
190805;miloops;[52, 32];[44, 57, 25, 68, 70, 71, 76, 103, 124];[2318, 416]
2940464;yui-knk;[85, 46, 81, 136, 246, 502];[73];[]
15631;avakhov;[45, 43, 79];[21, 31];[2342]
3839;bogdan;[75, 136, 335, 616, 378];[];[]
129693;arthurnn;[94, 43, 9, 14, 14, 20, 17, 42, 17, 15, 11, 19, 21, 34, 33, 22, 12, 15, 40, 33, 60, 83, 145, 188];[24, 15, 26, 125, 141];[]
2907125;eileencodes;[31, 22, 32, 18, 17, 8, 8, 5, 10, 28, 14, 17, 19, 12, 19];[10, 20, 13, 8];[]
26394;lifo;[170, 307, 244, 189, 474];[57, 46, 34, 67, 57, 22, 21, 29, 11];[836, 573]
7987;schneems;[174, 118, 33, 33, 24, 10, 20, 46, 107, 47, 69, 87, 134, 24];[30, 63, 232, 35];[]
13302;andhapp;[121, 50, 21, 49];[12, 23, 36, 27, 69, 39, 24];[2421]
18157;gbuesing;[2018];[];[1087]
1393307;georgeclaghorn;[24, 20, 86, 72, 171, 79, 121, 16, 11, 14, 12, 9, 9, 15, 45];[46, 53, 138, 73, 25, 19];[]
38980;chancancode;[63, 26, 60, 22, 15, 12, 12, 10, 12, 13, 20, 19, 20, 34, 116, 110, 501];[71, 33, 32, 36, 138, 32, 175];[]
8158;spastorino;[19, 23, 19, 8, 13, 24, 15, 9, 11, 22, 33, 30, 31, 33, 29, 30, 22, 28, 35, 42, 46, 42, 703];[54, 44, 28, 24, 13, 19, 62, 13, 7, 7, 9, 18, 63];[]
8151;kennyj;[38, 19, 47, 43, 119, 51, 104, 527];[];[1400]
323865;sgrif;[88, 33, 22, 27, 13, 9, 10, 10, 19, 15, 17, 19, 9, 19, 19, 25, 81, 42, 45, 41, 149, 63];[276];[]
143208;kamipo;[68, 41, 21, 25, 19, 19, 24, 14, 12, 18, 20, 21, 7, 5, 4, 4, 3, 4, 4, 3, 6];[3, 3, 4, 9, 4, 4, 3, 3, 17, 286, 60];[]
