project;N_s;N_h;N_common;t;p(t);tp;p(tp);u;p(u);w;p(w);k;p(k)
rails;109;85;85;3.8227910337926363;0.0001782147891282805;3.9437510139476375;0.0001655956977558963;3285.0;0.0002587703430541589;917.0;6.618616529433537e-05;12.060327898445768;0.0005150623174177272
laravel;26;14;14;0.825697888184465;0.41412948428386986;0.7999355189911159;0.4381219301579664;169.0;0.36149367726275505;48.0;0.7775646168566407;0.13590125045233226;0.7123902112848997
elixir-lang;21;14;14;-0.44125786326799793;0.661904041019223;-0.35871346703167317;0.7255678757197987;144.0;0.46645690669486994;49.0;0.8260910288588201;0.010204081632650741;0.9195383508138976
github;10;5;5;-0.0008502049471360081;0.9993345430044325;-0.7027605332516709;0.5209509184467204;24.0;0.4755851346484678;5.0;0.5001842570707944;0.015000000000000568;0.9025232501776776
atom;27;23;21;-0.08511692068459889;0.9325224759671449;-0.1318082608250687;0.8964529318815633;297.0;0.40011552055821403;112.0;0.9031748075260909;0.06905370843989544;0.7927195942434659
flutter;45;20;20;-2.0863836773958635;0.040997660922970386;-1.8720488971617248;0.07667537973413098;383.0;0.17228098211342296;79.0;0.3317228918094638;0.9068686868686768;0.3409466156011163
ionic-team;13;11;11;-0.4290807956704069;0.6720370147966308;-0.5108098736141108;0.6205708863921979;68.5;0.4424056265145;25.0;0.7988593499960496;0.03022293061441049;0.8619853643138515
JabRef;12;9;9;-0.8749826505998622;0.39251011258635105;-1.1273815882462934;0.2922568234970053;42.0;0.2068872412864749;15.0;0.3742593192802244;0.7272727272727337;0.3937686346429907
