project;status;average_duration;min;max
ionic-team;gone;551.0;551;551
ionic-team;inactive;33.0587629542175;3;286
ionic-team;non-coding;28.233991853557068;4;303
flutter;gone;862.0;862;862
flutter;inactive;74.91166666666666;4;317
flutter;non-coding;45.05997509933784;4;861
atom;gone;1275.9;411;2122
atom;inactive;87.8816425120773;4;333
atom;non-coding;85.68036773773204;3;885
github;gone;748.5;397;1100
github;inactive;115.44000000000001;8;285
github;non-coding;115.39912769455607;10;1169
JabRef;gone;616.75;389;794
JabRef;inactive;73.8941798941799;13;338
JabRef;non-coding;56.05483882947119;7;507
elixir-lang;gone;1231.6;443;1777
elixir-lang;inactive;114.03730158730158;4;340
elixir-lang;non-coding;101.96070102283338;3;1639
laravel;gone;488.0;388;609
laravel;inactive;95.02380952380953;3;253
laravel;non-coding;121.19438922188922;3;1007
rails;gone;942.4615384615385;367;2456
rails;inactive;108.66276249893899;3;364
rails;non-coding;283.84697524161976;3;2632
