Project;total_devs;10;20;30;40;50;60;70;80
rails;3834;225;110;82;63;55;50;47;43
framework;1979;65;27;21;16;12;11;10;9
elixir;851;33;21;15;12;12;10;8;6
linguist;765;12;10;8;7;6;5;5;3
flutter;402;67;45;37;28;25;19;18;13
atom;431;36;30;24;19;18;16;15;13
ionic;331;21;14;12;10;7;5;4;4
jabref;204;20;12;11;10;9;8;8;6
