Project;Contributors;Sampled_Contributors;Sleeping;Hibernated;Dead
rails;3834;110;109;89;39
laravel;1979;27;26;15;4
elixir-lang;851;21;21;15;5
JabRef;204;12;12;10;2
github;765;10;10;5;2
atom;431;30;27;25;5
flutter;402;45;45;20;1
ionic-team;331;14;13;11;1
