to;Active;Sleeping;Hibernating;Dead
Dead;33.600888224582405;11.528637633088195;-;54.87047414232939
Hibernating;42.85154211009429;25.85935754232807;8.514133757462705;22.774966590114936
Sleeping;83.88614574441301;3.6361558093088497;12.477698446278142;-
Active;88.61915484876383;8.90883728853917;2.4720078626970072;-
