organization;developer;current_status;for (days)
ionic-team;jgw96;Inactive;44.0
ionic-team;drewrygh;Inactive;286.0
ionic-team;danbucholtz;Inactive;98.0
flutter;vlidholt;Non-coding;38.0
flutter;szakarias;Non-coding;192.0
flutter;sethladd;Non-coding;509.0
flutter;rmacnak-google;Non-coding;78.0
flutter;pylaligand;Non-coding;97.0
flutter;mravn-google;Non-coding;34.0
flutter;krisgiesing;Non-coding;563.0
flutter;jcollins-g;Non-coding;134.0
flutter;jacob314;Non-coding;43.0
flutter;eseidelGoogle;Non-coding;861.0
flutter;apwilson;Non-coding;367.0
flutter;sbaranov;Inactive;32.0
flutter;jslavitz;Inactive;53.0
flutter;danrubel;Inactive;182.0
flutter;mpcomplete;Gone;862.0
atom;thomasjo;Non-coding;350.0
atom;thedaniel;Non-coding;40.0
atom;mnquintana;Non-coding;885.0
atom;kuychaco;Non-coding;36.0
atom;kevinsawicki;Non-coding;828.0
atom;joshaber;Non-coding;132.0
atom;iolsen;Non-coding;197.0
atom;damieng;Non-coding;199.0
atom;BinaryMuse;Non-coding;51.0
atom;benogle;Non-coding;67.0
atom;anaisbetts;Non-coding;735.0
atom;simurai;Inactive;28.0
atom;matthewwithanm;Inactive;199.0
atom;leroix;Inactive;28.0
atom;izuzak;Inactive;125.0
atom;probablykevin;Gone;2122.0
atom;probablycorey-and-nathan;Gone;1829.0
atom;mcolyer;Gone;525.0
atom;kevinnathan;Gone;1476.0
elixir-lang;yrashk;Non-coding;1639.0
elixir-lang;michalmuskala;Non-coding;191.0
elixir-lang;fishcakez;Non-coding;518.0
elixir-lang;devonestes;Non-coding;146.0
elixir-lang;myronmarston;Inactive;340.0
elixir-lang;gusaiani;Inactive;118.0
elixir-lang;rafaelfranca;Gone;1777.0
elixir-lang;mururu;Gone;1695.0
elixir-lang;meh;Gone;1699.0
elixir-lang;ericentin;Gone;544.0
elixir-lang;alco;Gone;443.0
laravel;sileence;Non-coding;433.0
laravel;rkgrep;Non-coding;976.0
laravel;lucasmichot;Non-coding;101.0
laravel;JosephSilber;Non-coding;191.0
laravel;crynobone;Non-coding;100.0
laravel;barryvdh;Non-coding;189.0
laravel;Anahkiasen;Non-coding;254.0
laravel;adamwathan;Non-coding;287.0
laravel;acasar;Non-coding;468.0
laravel;arrilot;Gone;609.0
laravel;anlutro;Gone;400.0
rails;zzak;Non-coding;788.0
rails;yhirano55;Non-coding;123.0
rails;wycats;Non-coding;2230.0
rails;ugisozols;Non-coding;2192.0
rails;steveklabnik;Non-coding;1049.0
rails;sgrif;Non-coding;175.0
rails;seuros;Non-coding;261.0
rails;senny;Non-coding;592.0
rails;rubys;Non-coding;786.0
rails;rsim;Non-coding;1263.0
rails;rohit;Non-coding;1633.0
rails;pixeltrix;Non-coding;93.0
rails;pftg;Non-coding;513.0
rails;nicksieger;Non-coding;1057.0
rails;metaskills;Non-coding;635.0
rails;matthewd;Non-coding;39.0
rails;maclover7;Non-coding;44.0
rails;lsylvester;Non-coding;165.0
rails;laurocaetano;Non-coding;1256.0
rails;kuldeepaggarwal;Non-coding;1209.0
rails;kirs;Non-coding;200.0
rails;joshk;Non-coding;1388.0
rails;josh;Non-coding;321.0
rails;jonleighton;Non-coding;790.0
rails;jonatack;Non-coding;1005.0
rails;htanata;Non-coding;813.0
rails;georgeclaghorn;Non-coding;20.0
rails;gaurish;Non-coding;691.0
rails;Gaurav2728;Non-coding;468.0
rails;FooBarWidget;Non-coding;399.0
rails;ffmike;Non-coding;122.0
rails;fcheung;Non-coding;1095.0
rails;ernie;Non-coding;1219.0
rails;dchelimsky;Non-coding;2122.0
rails;claudiob;Non-coding;350.0
rails;chuyeow;Non-coding;2632.0
rails;chancancode;Non-coding;434.0
rails;brynary;Non-coding;1667.0
rails;brainopia;Non-coding;882.0
rails;bogdanvlviv;Non-coding;92.0
rails;arthurnn;Non-coding;706.0
rails;acapilleri;Non-coding;1356.0
rails;vijaydev;Inactive;249.0
rails;tjschuck;Inactive;185.0
rails;mechanicles;Inactive;269.0
rails;lifo;Inactive;133.0
rails;yui-knk;Gone;509.0
rails;waynn;Gone;1490.0
rails;wangjohn;Gone;1610.0
rails;vishnuatrai;Gone;1648.0
rails;tarmo;Gone;769.0
rails;spastorino;Gone;517.0
rails;smartinez87;Gone;2456.0
rails;raysrashmi;Gone;1267.0
rails;NZKoz;Gone;1316.0
rails;nashby;Gone;1473.0
rails;miloops;Gone;2155.0
rails;Mik-die;Gone;803.0
rails;marcandre;Gone;376.0
rails;lukaszx0;Gone;759.0
rails;lest;Gone;1341.0
rails;kennyj;Gone;898.0
rails;josevalim;Gone;372.0
rails;jaimeiniesta;Gone;1257.0
rails;gbuesing;Gone;1583.0
rails;drogus;Gone;961.0
rails;dmathieu;Gone;1191.0
rails;avakhov;Gone;2146.0
