user_id,2019-04-26,2019-04-27,2019-04-28,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-04,2019-05-05,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-11,2019-05-12,2019-05-13,2019-05-14,2019-05-15
inc0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
awmatheson,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,4,0
