durations;datelimits
160.0;2018-04-26/2018-10-03
75.0;2018-02-10/2018-04-26
88.0;2017-11-14/2018-02-10
44.0;2017-03-13/2017-04-26
26.0;2016-09-29/2016-10-25
58.0;2016-08-02/2016-09-29
86.0;2016-04-17/2016-07-12
89.0;2015-09-20/2015-12-18
58.0;2015-05-20/2015-07-17
104.0;2014-04-24/2014-08-06
81.0;2013-12-25/2014-03-16
59.0;2013-09-13/2013-11-11
65.0;2012-11-05/2013-01-09
117.0;2013-03-02/2013-06-27
147.0;2012-06-11/2012-11-05
69.0;2010-09-02/2010-11-10
122.0;2009-03-19/2009-07-19
94.0;2008-11-17/2009-02-19
312.0;2009-08-26/2010-07-04
