user_id,2017-09-28,2017-09-29,2017-09-30,2017-10-01,2017-10-02,2017-10-03,2017-10-04,2017-10-05
mlynch,16,0,0,0,0,0,0,1
nphyatt,0,0,0,0,0,0,0,2
