durations;datelimits
29;2019-05-15/2019-06-13
98;2018-12-19/2019-03-27
11;2018-12-07/2018-12-18
10;2018-09-21/2018-10-01
15;2018-10-02/2018-10-17
5;2018-04-25/2018-04-30
7;2018-04-02/2018-04-09
6;2018-03-03/2018-03-09
10;2018-01-29/2018-02-08
14;2017-10-09/2017-10-23
9;2017-07-04/2017-07-13
10;2016-08-30/2016-09-09
10;2016-07-15/2016-07-25
131;2016-02-29/2016-07-09
18;2015-12-17/2016-01-04
10;2015-08-02/2015-08-12
6;2015-07-10/2015-07-16
12;2015-06-25/2015-07-07
6;2015-06-19/2015-06-25
4;2015-04-16/2015-04-20
4;2015-04-09/2015-04-13
4;2015-03-19/2015-03-23
5;2015-03-05/2015-03-10
