durations;datelimits
1927;2014-03-11/2019-06-20
8;2014-02-18/2014-02-26
42;2014-01-07/2014-02-18
13;2013-12-20/2014-01-02
6;2013-11-26/2013-12-02
4;2013-11-22/2013-11-26
4;2013-09-06/2013-09-10
4;2013-08-30/2013-09-03
6;2013-07-26/2013-08-01
