dev;username;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
99040;kirs;3.3874709976798143;0.5081206496519721;0.5081206496519721;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8147;jonleighton;17.56933375836787;0.9308256295824037;0.6981192221868027;1.0471788332802041;0.0;0.23270640739560092;0.0;1.279885240675805;0.6981192221868027;0.0
2094;amatsuda;15.766738660907127;0.9854211663066954;0.9854211663066954;0.8868790496760259;0.8868790496760259;0.0;0.0;0.0;0.0;0.0
23468;vijaydev;32.533577533577535;1.9312169312169312;1.9312169312169312;0.8913308913308914;0.7427757427757428;0.0;0.14855514855514856;0.0;0.0;0.0
29097;ernie;5.513595166163142;0.44108761329305135;0.22054380664652568;0.8821752265861027;0.0;0.22054380664652568;0.0;1.1027190332326284;0.44108761329305135;0.0
1240486;maclover7;53.63265306122449;4.965986394557823;4.469387755102041;0.4965986394557823;0.4965986394557823;0.9931972789115646;0.4965986394557823;0.0;0.0;0.0
2940464;yui-knk;14.774609015639374;2.014719411223551;2.014719411223551;0.3357865685372585;0.3357865685372585;0.0;0.0;0.0;0.0;0.0
45381;senny;41.10514018691588;2.5584112149532707;2.5584112149532707;0.8528037383177569;0.5116822429906541;0.3411214953271028;0.5116822429906541;0.0;0.0;0.0
143208;kamipo;46.187667560321714;4.109919571045576;4.109919571045576;2.1528150134048256;2.1528150134048256;0.0;0.0;0.0;0.0;0.0
7987;schneems;21.196128560993426;1.8663257852447042;1.7330168005843682;0.3999269539810081;0.3999269539810081;0.13330898466033603;0.0;0.0;0.0;0.0
13302;andhapp;30.82619339045288;1.3402692778457774;0.44675642594859244;2.680538555691555;2.2337821297429623;1.3402692778457774;0.44675642594859244;0.8935128518971849;0.0;0.0
3925;frodsan;4.319526627218935;0.6170752324598479;0.4628064243448859;0.4628064243448859;0.15426880811496196;0.15426880811496196;0.15426880811496196;0.30853761622992393;0.15426880811496196;0.15426880811496196
18157;gbuesing;8.990147783251231;0.0;0.0;0.8990147783251231;0.0;0.0;0.0;0.8990147783251231;0.44950738916256155;0.44950738916256155
14672;drogus;26.291187739463602;1.957854406130268;1.6781609195402298;1.6781609195402298;1.3984674329501916;0.5593869731800766;0.2796934865900383;0.5593869731800766;0.0;0.0
4690;lest;17.726269315673292;3.222958057395144;2.4172185430463577;0.805739514348786;0.0;0.805739514348786;0.0;1.611479028697572;0.0;0.0
16484;jeremy;29.71261378413524;2.4681404421326394;2.2782834850455136;1.8036410923276982;1.8036410923276982;0.18985695708712613;0.18985695708712613;0.0;0.0;0.0
8151;kennyj;24.10377358490566;3.9353099730458223;3.4433962264150946;0.4919137466307278;0.0;0.4919137466307278;0.0;0.9838274932614556;0.0;0.0
