dev;username;sleepings;hibernations;deads
391199;a14n;[102, 61, 35, 45, 36, 33, 29];[];[]
1084078;aam;[23, 39, 20, 14, 7, 13, 35, 42];[11];[]
6573;vlidholt;[53, 312, 90, 112, 93, 79];[48, 48, 55, 120];[]
100795;jacob314;[112, 77, 62];[];[]
474335;mpcomplete;[24, 19, 17, 17, 14, 27, 24, 21];[];[692]
130556;abarth;[18, 8, 11, 14, 13, 35, 101, 146, 77, 193];[16];[]
31810668;mravn-google;[20, 19, 20, 32, 17, 20, 9, 9, 28, 14, 25, 54];[44];[]
11805960;GaryQian;[77, 87];[298];[]
10206934;tvolkert;[88, 36, 49, 29, 18, 16, 53, 13, 20, 23, 35, 18, 54, 15, 16, 11, 54, 41];[48];[]
5136683;gspencergoog;[52, 20, 12, 13, 12, 22, 20];[14];[]
637380;awdavies;[44, 64];[];[]
1019764;pq;[17, 16, 27, 19, 21, 76, 293];[];[]
1259688;danrubel;[9, 35, 22, 26, 78, 504];[];[]
5006594;a-siva;[72, 48];[];[]
138122;HansMuller;[15, 12, 12, 10, 11, 19, 14, 9, 8, 15, 13];[12, 26];[]
12721920;liyuqian;[15, 16, 13, 12, 21];[];[]
6880066;krisgiesing;[75, 166, 60, 393];[149, 101];[]
11880325;dnfield;[83];[];[]
1004;sethladd;[64, 339];[];[]
10164485;jcollins-g;[106, 63];[];[]
5592960;jonahwilliams;[18];[];[]
467352;cbracken;[44, 11, 10, 24, 42, 74];[];[]
410268;amirh;[98, 23, 36, 41];[];[]
377327;pylaligand;[188];[223, 106];[]
75281;johnmccutchan;[108, 125, 56, 218, 96];[173, 134];[]
332660;devoncarew;[19, 7, 7, 14, 11, 18, 22, 33, 35, 37];[31];[]
137955;Hixie;[8, 10, 28, 7, 7, 8, 21, 12, 8, 7, 4, 6, 6, 5, 6, 10, 14, 21, 12, 15, 21];[53];[]
2055039;yjbanov;[44, 20, 27, 20, 22, 91, 47];[13];[]
17360800;jakobr-google;[80, 138];[252];[]
1737433;szakarias;[];[151];[]
83011;DanTup;[37, 18, 21];[];[]
4244703;jslavitz;[23, 13];[12];[]
191382;xster;[17, 26, 9, 8, 20, 9, 25, 12, 12, 13, 11];[];[]
9798400;DaveShuckerow;[42];[];[]
10339503;sbaranov;[];[42];[]
427113;collinjackson;[31, 32, 56, 96, 104, 168, 223];[47, 34];[]
17769;chinmaygarde;[55, 29, 76, 363, 118, 138];[89];[]
7690942;eseidelGoogle;[54, 33, 70, 796];[24];[]
9499297;jason-simmons;[20, 22, 14, 13, 12, 12, 14, 22, 14, 25, 23, 34, 25, 41, 49, 48];[41];[]
1358833;goderbauer;[13, 9, 8, 8, 16, 12, 13, 20, 11];[];[]
8740708;mit-mit;[55, 92, 107];[];[]
