dev;username;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
1084078;aam;47.96075085324232;4.982935153583617;4.982935153583617;0.6228668941979522;0.6228668941979522;0.0;0.0;0.0;0.0;0.0
8740708;mit-mit;17.18836565096953;1.5166204986149583;1.5166204986149583;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5136683;gspencergoog;55.94890510948905;4.662408759124087;4.662408759124087;0.6660583941605839;0.6660583941605839;0.0;0.0;0.0;0.0;0.0
391199;a14n;27.977594339622645;3.012971698113208;3.012971698113208;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4244703;jslavitz;55.98159509202454;4.478527607361963;4.478527607361963;2.2392638036809815;0.0;0.0;0.0;0.0;0.0;0.0
1737433;szakarias;32.44444444444444;0.0;0.0;0.6759259259259259;0.0;0.0;0.0;0.0;0.0;0.0
31810668;mravn-google;52.66169154228856;6.658374792703151;6.658374792703151;1.2106135986733002;0.6053067993366501;0.0;0.6053067993366501;0.0;0.0;0.0
12721920;liyuqian;58.333333333333336;8.333333333333334;8.333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9798400;DaveShuckerow;29.2433234421365;1.083086053412463;1.083086053412463;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1004;sethladd;18.70625;0.9125000000000001;0.9125000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11880325;dnfield;32.34177215189874;1.540084388185654;1.540084388185654;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83011;DanTup;42.602523659305994;3.454258675078864;3.454258675078864;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5592960;jonahwilliams;78.12280701754386;1.280701754385965;1.280701754385965;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1358833;goderbauer;60.74895977808599;4.55617198335645;4.55617198335645;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6573;vlidholt;16.22222222222222;2.212121212121212;1.4747474747474747;0.0;0.0;2.9494949494949494;2.212121212121212;0.0;0.0;0.0
2055039;yjbanov;46.61100196463654;2.5098231827111985;2.5098231827111985;0.35854616895874264;0.35854616895874264;0.0;0.0;0.0;0.0;0.0
637380;awdavies;30.306859205776174;2.6353790613718413;2.6353790613718413;0.0;0.0;0.0;0.0;0.0;0.0;0.0
332660;devoncarew;44.21544715447154;2.967479674796748;2.967479674796748;0.2967479674796748;0.2967479674796748;0.0;0.0;0.0;0.0;0.0
10339503;sbaranov;28.67857142857143;0.0;0.0;1.3035714285714286;1.3035714285714286;0.0;0.0;0.0;0.0;0.0
377327;pylaligand;12.814769975786927;0.4418886198547216;0.4418886198547216;0.8837772397094432;0.4418886198547216;0.0;0.0;0.0;0.0;0.0
11805960;GaryQian;12.829525483304042;0.6414762741652021;0.0;0.0;0.0;0.6414762741652021;0.6414762741652021;0.0;0.0;0.0
1259688;danrubel;34.2817679558011;6.0497237569060776;6.0497237569060776;0.0;0.0;0.0;0.0;0.0;0.0;0.0
130556;abarth;39.26566884939196;3.414405986903648;3.414405986903648;0.3414405986903648;0.3414405986903648;0.0;0.0;0.0;0.0;0.0
1019764;pq;25.4898157129001;2.478176527643065;2.478176527643065;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75281;johnmccutchan;22.942857142857143;2.780952380952381;2.085714285714286;0.0;0.0;1.3904761904761904;0.6952380952380952;0.0;0.0;0.0
6880066;krisgiesing;10.072273324572931;1.4388961892247043;0.9592641261498029;0.0;0.0;0.9592641261498029;0.47963206307490147;0.0;0.0;0.0
410268;amirh;38.550561797752806;3.2808988764044944;3.2808988764044944;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9499297;jason-simmons;50.92287694974003;5.0606585788561524;5.0606585788561524;0.31629116117850953;0.31629116117850953;0.0;0.0;0.0;0.0;0.0
17769;chinmaygarde;15.565709312445605;1.9060052219321149;1.9060052219321149;0.31766753698868583;0.31766753698868583;0.0;0.0;0.0;0.0;0.0
100795;jacob314;22.445095168374817;1.6032210834553442;1.6032210834553442;0.0;0.0;0.0;0.0;0.0;0.0;0.0
467352;cbracken;51.94925742574258;2.710396039603961;2.710396039603961;0.0;0.0;0.0;0.0;0.0;0.0;0.0
138122;HansMuller;62.94167371090448;3.3939137785291633;3.3939137785291633;0.6170752324598479;0.6170752324598479;0.0;0.0;0.0;0.0;0.0
427113;collinjackson;19.66209598432909;2.502448579823702;2.502448579823702;0.7149853085210578;0.7149853085210578;0.0;0.0;0.0;0.0;0.0
137955;Hixie;64.27108927108927;6.277641277641277;6.277641277641277;0.2989352989352989;0.2989352989352989;0.0;0.0;0.0;0.0;0.0
191382;xster;63.45545977011494;5.76867816091954;5.76867816091954;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5006594;a-siva;26.071428571428573;2.085714285714286;2.085714285714286;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10164485;jcollins-g;19.369817578772803;1.2106135986733002;1.2106135986733002;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10206934;tvolkert;35.52232142857143;5.866071428571429;5.866071428571429;0.32589285714285715;0.32589285714285715;0.0;0.0;0.0;0.0;0.0
474335;mpcomplete;45.91194968553459;6.121593291404611;5.356394129979035;0.7651991614255764;0.0;0.7651991614255764;0.0;1.5303983228511528;0.0;0.0
17360800;jakobr-google;24.646302250803856;2.3472668810289385;1.1736334405144693;0.0;0.0;1.1736334405144693;0.0;0.0;0.0;0.0
7690942;eseidelGoogle;25.426966292134832;2.460674157303371;2.460674157303371;1.6404494382022472;0.8202247191011236;0.0;0.8202247191011236;0.0;0.0;0.0
