kevinsawicki,3,47,51,7,10,5,5,2,2,2,3,2,5,22,9,27,27,9,7,6,8,4,8,6,50,34,10,20,11,9,10,21,36,6,2,2,10,2,12,6,6,2,12,6,7,21,7,5,65,5,79,25,136,909,0.0748074807480748
nathansobo,321,1555,1877,0.0015982951518380393
tomvangoethem,1,1.0
aseemk,636,637,0.0031397174254317113
guidokessels,1,1.0
joefiorini,1,1.0
ponychicken,274,275,0.007272727272727273
zacharytamas,1,1.0
rwaldron,1,1.0
rmehner,1,1.0
stickel,1,1.0
floydpink,1,1.0
adrianlee44,325,61,387,0.007751937984496124
postcasio,278,279,0.007168458781362007
sophiebits,1,1.0
yeldarby,1,1.0
jacobbednarz,1,1.0
izuzak,1,1.0
jasonhansel,2,1.0
igormilla,1,1.0
maxbrunsfeld,53,7,76,961,4,10,10,13,4,32,2,13,27,21,22,11,2,26,7,4,7,10,2,3,10,9,10,4,5,33,24,5,2,7,6,34,181,1663,0.025856885147324114
malexandre,1,1.0
mathiasbynens,1,1.0
Hurtak,96,2,232,333,0.018018018018018018
fixe,1,1.0
UltimateBrent,1,1.0
rclark,1,1.0
AMalininHere,14,17,4,7,2,13,7,68,0.16176470588235295
hakatashi,1,1.0
Ganonside,1,1.0
kfix,1,1.0
caiotoon,1,1.0
larshp,1,1.0
50Wliu,6,40,4,3,19,4,5,2,15,2,2,3,10,6,2,4,4,11,4,11,20,7,11,4,3,6,14,4,6,4,18,3,2,3,3,5,21,2,5,22,8,3,5,2,5,7,42,41,9,3,2,5,3,2,2,3,4,10,2,9,6,6,2,2,3,4,7,2,3,3,2,23,8,10,2,13,2,12,2,11,2,8,21,10,15,45,15,15,30,5,4,22,2,17,24,4,21,3,6,16,22,72,8,10,4,42,21,176,149,1447,0.10850034554250172
pchaigno,2,118,668,790,0.006329113924050633
adamreisnz,66,11,80,0.0625
mnquintana,46,11,52,432,542,0.00922509225092251
frozzare,4,6,0.5
zephraph,1,1.0
rhelmer,1,1.0
nkt,2,3,0.6666666666666666
adamfranco,19,21,0.14285714285714285
drew-y,1,1.0
slinto,1,1.0
prettymuchbryce,1,1.0
thomasjo,1,1.0
mislav,3,4,0.5
MaximSokolov,6,11,16,3,7,2,14,5,3,24,10,18,6,7,3,2,2,9,4,4,44,2,3,106,16,2,46,388,0.10309278350515463
as-cii,2,1.0
ajsb85,1,1.0
thedaniel,1,1.0
simurai,1,1.0
Alhadis,264,12,3,5,7,3,9,28,12,25,3,7,11,28,44,3,6,4,191,4,17,696,0.04454022988505747
lee-dohm,401,4,406,0.007389162561576354
elifoster,1,1.0
luop90,17,5,23,0.13043478260869565
C-Bouthoorn,1,1.0
KSXGitHub,11,32,44,0.06818181818181818
nfour,4,1.0
Spencer-Easton,1,1.0
jrburke,104,105,0.01904761904761905
thomaslindstrom,1,1.0
javierjmx,1,1.0
CentricStorm,7,669,6,260,947,0.009503695881731784
elaberge,1,1.0
charliesome,1,1.0
kartikanand,1,1.0
damieng,11,12,0.16666666666666666
ivangabriele,1,1.0
Victorystick,1,1.0
bgriffith,12,7,21,3,15,2,3,16,13,3,103,0.17475728155339806
Zirro,2,1.0
MoritzKn,37,39,0.07692307692307693
eljefedelrodeodeljefe,1,1.0
torn4dom4n,1,1.0
DamnedScholar,6,7,10,25,0.2
AlexKvazos,1,1.0
mozfreddyb,1,1.0
repsac-by,1,1.0
arandilopez,1,1.0
TangSteven,1,1.0
smellyshovel,1,1.0
aemino,1,1.0
keplersj,1,1.0
leroix,2,1.0
wesinator,1,1.0
mikemcbride,70,11,34,117,0.042735042735042736
kylekthompson,31,32,0.0625
queerviolet,6,8,8,25,0.24
Aerijo,77,78,0.02564102564102564
jasonrudolph,7,8,0.25
Ingramz,1,1.0
Ben3eeE,2,4,2,4,6,15,125,160,0.05625
bennypowers,13,14,0.14285714285714285
lildude,10,11,0.18181818181818182
