"[24.0, '2010-10-15/2010-11-08']","['h', 22, '2010-10-15/2010-11-06']"
"[135.0, '2011-07-26/2011-12-08']","['sot', 135, '2011-07-26/2011-12-08']"
"[45.0, '2011-06-11/2011-07-26']","['sot', 45, '2011-06-11/2011-07-26']"
"[30.0, '2012-02-01/2012-03-02']","['sot', 30, '2012-02-01/2012-03-02']"
"[31.0, '2012-07-11/2012-08-11']","['sot', 31, '2012-07-11/2012-08-11']"
"[127.0, '2012-09-16/2013-01-21']","['sot', 127, '2012-09-16/2013-01-21']"
"[71.0, '2013-02-03/2013-04-15']","['sot', 71, '2013-02-03/2013-04-15']"
"[1811, '2014-01-16/2019-01-01']","['sot', 282, '2014-01-16/2014-10-25']","['h', 151, '2015-01-07/2015-03-25']","['sot', 587, '2015-03-25/2016-11-01']","['d', 791, '2017-01-14/2019-01-01']"
