"[141.0, '2010-11-08/2011-03-29']","['h', 123, '2010-11-08/2011-03-11']"
"[50.0, '2011-03-29/2011-05-18']","['sot', 50, '2011-03-29/2011-05-18']"
"[25.0, '2011-07-29/2011-08-23']","['sot', 25, '2011-07-29/2011-08-23']"
"[106.0, '2011-09-22/2012-01-06']","['sot', 106, '2011-09-22/2012-01-06']"
"[59.0, '2012-01-06/2012-03-05']","['sot', 59, '2012-01-06/2012-03-05']"
"[38.0, '2012-03-05/2012-04-12']","['sot', 38, '2012-03-05/2012-04-12']"
"[69.0, '2012-04-12/2012-06-20']","['sot', 69, '2012-04-12/2012-06-20']"
"[480.0, '2012-07-06/2013-10-29']","['sot', 480, '2012-07-06/2013-10-29']"
"[1813, '2014-01-14/2019-01-01']","['sot', 430, '2014-01-14/2015-03-20']","['h', 362, '2015-08-08/2016-03-16']","['sot', 1021, '2016-03-16/2019-01-01']"
